                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
434     39223043   CONTRABAJO                                   Unidad
435     39223100   CONTRAFAGOT                                  Unidad
436     39223158   CORNETA                                      Unidad
437     39223186   CORNETA DOBLE TUBO                           Unidad
438     39223214   CORNETIN                                     Unidad
439   39223242   CORNETON                          Unidad
440   39223273   CORNO                             Unidad
441   39223330   CORNO FRANCES                     Unidad
442   39223387   CORNO INGLES                      Unidad
443   39223415   CORTINA MUSICAL                   Unidad
444   39223444   CROTALOS                          Unidad
445   39223473   CUATRO                            Unidad
446   39223503   FAGOT                             Unidad
447   39223618   FANFARRIA                         Unidad
448   39223734   FLAUTA                            Unidad
449   39223738   FLAUTA BAJO                       Unidad
450   39223742   FLAUTA DE PAN                     Unidad
451   39223746   FLAUTA DULCE                      Unidad
452   39223750   FLAUTA SOPRANO                    Unidad
453   39223754   FLAUTA TRANSVERSAL                Unidad
454   39223762   FLAUTIN                           Unidad
455   39223769   FLEXATONO                         Unidad
456   39223776   GLOCKENSPIEL                      Unidad
457   39223791   GONG                              Unidad
458   39223849   GUIRO                             Unidad
459   39223964   GUITARRA ACUSTICA                 Unidad
460   39224194   GUITARRA ELECTRICA                Unidad
461   39224424   GUITARRA ELECTRO ACUSTICA         Unidad
462   39224462   GUITARRA ELECTRONICA              Unidad
463   39224481   GUITARRON                         Unidad
464   39224501   HI HAT                            Unidad
465   39224520   HUANCARA                          Unidad
466   39224539   HUARIPOLA                         Unidad
467   39224578   LATIGO PARA MUSICA                Unidad
468   39224655   LAUD                              Unidad
469   39224885   LIRA                              Unidad
470   39225000   MAITA                             Unidad
471   39225115   MANDOLINA                         Unidad
472   39225230   MARACA                            Unidad
473   39225345   MARIMBA                           Unidad
474   39225576   METALOFONO                        Unidad
475   39225599   METALOFONO ALTO                   Unidad
476   39225622   METALOFONO BAJO                   Unidad
477   39225645   METALOFONO INTRATONAL             Unidad
478   39225668   METALOFONO SOPRANO                Unidad
479   39225691   MOCEÑAS DE CAÑA                   Unidad
480   39225806   MONOCORDIO                        Unidad
481   39225921   NAPOLEON                          Unidad
482   39226036   OBOE                              Unidad
483   39226151   ORGANO                            Unidad
484   39226266   ORGANO DE PEDAL                   Unidad
485   39226381   ORGANO ELECTROMECANICO            Unidad
486   39226497   ORGANO ELECTRONICO                Unidad
487   39226554   PALO DE LLUVIA                    Unidad
488   39226611   PANDERETA                         Unidad
489   39226668   PANDERO                           Unidad
490   39226697   PIANICA                           Unidad
491   39226727   PIANO                             Unidad
492   39226741   PIANOLA                           Unidad
493   39226755   PIANO DIGITAL                     Unidad
494   39226784   PIANO ELECTRICO                   Unidad
495   39226842   PICOLO                            Unidad
496   39226957   PLATILLO                          Unidad
497   39227014   PROGRAMADOR DIGITAL PARA MUSICA   Unidad
498   39227042   PUTUTO                            Unidad
499   39227071   QUENA                             Unidad
500    39227128   QUIJADA DE BURRO                                        Unidad
501    39227131   RADANELA                                                Unidad
502    39227134   REQUINTO                                                Unidad
503    39227135   RONROCO                                                 Unidad
504    39227136   ROTOTOM                                                 Unidad
505    39227137   SAXO ALTO                                               Unidad
506    39227146   SAXO BARITONO                                           Unidad
507    39227155   SAXO CLARON                                             Unidad
508    39227164   SAXO SOPRANO                                            Unidad
509    39227173   SAXO TENOR                                              Unidad
510    39227187   SAXOFON                                                 Unidad
511    39227244   SISTEMA DE PERCUSION DIGITAL PORTATIL                   Unidad
512    39227301   SOUSAFON                                                Unidad
513    39227358   TAM TAM - TAN TAN                                       Unidad
514    39227417   TAMBOR                                                  Unidad
515    39227455   TAMBOR REDOBLANTE                                       Unidad
516    39227494   TAMBORINE                                               Unidad
517    39227571   TARKA                                                   Unidad
518    39227648   TAROLA                                                  Unidad
519    39227763   TECLADO ELECTRONICO DE MUSICA                           Unidad
520    39227878   TIMBAL                                                  Unidad
521    39227897   TIMPLE CANARIO                                          Unidad
522    39227916   TINYA                                                   Unidad
523    39227954   TOC TOC                                                 Unidad
524    39228030   TON TON                                                 Unidad
525    39228108   TRIANGULO MUSICAL                                       Unidad
526    39228338   TROMBON                                                 Unidad
527    39228376   TROMBON DE EMBOLO                                       Unidad
528    39228415   TROMBON DE LLAVES                                       Unidad
529    39228492   TROMBON DE VARA                                         Unidad
530    39228530   TROMPA MUSICAL                                          Unidad
531    39228569   TROMPETA                                                Unidad
532    39228684   TROMPETA DE VARA                                        Unidad
533    39228799   TUBA                                                    Unidad
534    39228914   TUMBA                                                   Unidad
535    39228971   VIBRA SLAP                                              Unidad
536    39229029   VIBRAFONO                                               Unidad
537    39229144   VIHUELA                                                 Unidad
538    39229259   VIOLA                                                   Unidad
539    39229490   VIOLIN                                                  Unidad
540    39229720   VIOLONCELLO                                             Unidad
541    39229835   WAJRAPUCO                                               Unidad
542    39229950   XILOFONO                                                Unidad
543    39229956   XILOFONO ALTO                                           Unidad
544    39229962   XILOFONO BAJO                                           Unidad
545    39229968   XILOFONO SOPRANO                                        Unidad
546    39229975   ZAMPOÑA                                                 Unidad

GRUPO GENÉRICO    39: CULTURA Y ARTE
CLASE             64: MOBILIARIO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
547    39640050   ADORNO DECORATIVO (MAYOR A 1/4 UIT)                     Unidad
548    39640325   AGUAMANIL (MAYOR A 1/4 UIT)                             Unidad
549    39640600   ALTAR                                                   Unidad
550    39640875   ANDA PARA IMAGENES RELIGIOSAS                           Unidad
551    39641150   ARTESANIA EN GENERAL (MAYOR A 1/4 UIT)                  Unidad
552    39641425   BANQUETA PARA PIANO                                     Unidad
553    39641700   BUSTO DE MARMOL                                         Unidad
554    39642250   BUSTO DE METAL                                          Unidad
555    39642525   BUSTOS (OTROS)                                          Unidad
556    39642662   BUTACA PARA AUDITORIO                                   Unidad
557    39642696   CABALLETE DE MADERA PARA DIBUJO                         Unidad
558    39642730   CABALLETE DE MADERA PARA ESCULTURA                      Unidad
559    39642764   CABALLETE DE MADERA PARA PINTURA                        Unidad
